open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-01-01 00:00:00+00:00,129.12,129.12,128.62,128.82,14947.691,2020-01-01 00:59:59.999000+00:00,1925643.61904,1249.0,7707.625,992883.79597,0
2020-01-01 01:00:00+00:00,128.81,130.61,128.76,130.57,34755.256,2020-01-01 01:59:59.999000+00:00,4514483.5812,3116.0,19928.267,2588555.34518,0
2020-01-01 02:00:00+00:00,130.58,130.97,130.3,130.8,21864.946,2020-01-01 02:59:59.999000+00:00,2857377.66035,1807.0,10299.172,1345961.88773,0
2020-01-01 03:00:00+00:00,130.8,130.82,129.88,130.09,16823.171,2020-01-01 03:59:59.999000+00:00,2190835.34416,1448.0,7580.536,986901.27252,0
2020-01-01 04:00:00+00:00,130.1,130.63,130.09,130.15,11357.239,2020-01-01 04:59:59.999000+00:00,1480318.82251,1065.0,5204.925,678301.53122,0
2020-01-01 05:00:00+00:00,130.15,130.37,130.05,130.23,7851.208,2020-01-01 05:59:59.999000+00:00,1022470.85041,834.0,3624.324,471972.08305,0
2020-01-01 06:00:00+00:00,130.23,130.67,130.21,130.36,12698.171,2020-01-01 06:59:59.999000+00:00,1656415.14384,1181.0,6005.377,783382.70544,0
2020-01-01 07:00:00+00:00,130.36,130.6,130.0,130.17,14907.105,2020-01-01 07:59:59.999000+00:00,1942037.23612,1169.0,7926.916,1032474.02414,0
2020-01-01 08:00:00+00:00,130.15,130.24,129.75,130.24,14712.157,2020-01-01 08:59:59.999000+00:00,1912017.90765,1355.0,6372.486,828194.51592,0
2020-01-01 09:00:00+00:00,130.24,130.49,130.01,130.03,7567.51,2020-01-01 09:59:59.999000+00:00,985720.44641,1067.0,3301.827,430111.41746,0
2020-01-01 10:00:00+00:00,130.02,130.68,129.97,130.59,12393.915,2020-01-01 10:59:59.999000+00:00,1615959.62319,1306.0,6249.176,814843.89211,0
2020-01-01 11:00:00+00:00,130.59,131.88,130.5,130.64,35693.375,2020-01-01 11:59:59.999000+00:00,4683276.29012,2741.0,19860.364,2605598.00094,0
2020-01-01 12:00:00+00:00,130.63,131.58,130.63,131.53,15314.035,2020-01-01 12:59:59.999000+00:00,2008066.04006,1339.0,9235.363,1211065.79045,0
2020-01-01 13:00:00+00:00,131.57,131.97,131.18,131.55,15767.101,2020-01-01 13:59:59.999000+00:00,2074315.66068,1430.0,7789.997,1024997.65714,0
2020-01-01 14:00:00+00:00,131.55,132.24,131.16,131.82,21989.252,2020-01-01 14:59:59.999000+00:00,2899058.69886,2101.0,11230.797,1480919.47693,0
2020-01-01 15:00:00+00:00,131.87,132.49,131.52,131.97,22613.919,2020-01-01 15:59:59.999000+00:00,2983434.15559,1845.0,10855.072,1432419.69834,0
2020-01-01 16:00:00+00:00,132.0,132.9,131.71,132.79,26228.975,2020-01-01 16:59:59.999000+00:00,3466593.19304,2099.0,14399.56,1903693.02404,0
2020-01-01 17:00:00+00:00,132.8,132.96,132.22,132.31,23039.829,2020-01-01 17:59:59.999000+00:00,3053311.84078,1755.0,10393.366,1377293.62051,0
2020-01-01 18:00:00+00:00,132.31,132.38,131.45,131.94,17695.871,2020-01-01 18:59:59.999000+00:00,2334762.11107,1424.0,7676.756,1012864.72569,0
2020-01-01 19:00:00+00:00,131.94,132.04,131.53,131.79,11759.809,2020-01-01 19:59:59.999000+00:00,1549616.05263,1158.0,5781.663,761808.22943,0
2020-01-01 20:00:00+00:00,131.79,132.18,131.6,132.09,14358.92,2020-01-01 20:59:59.999000+00:00,1894212.29117,1283.0,7427.87,979844.67257,0
2020-01-01 21:00:00+00:00,132.09,132.25,131.57,131.77,18456.592,2020-01-01 21:59:59.999000+00:00,2435027.95156,1468.0,8764.708,1156180.45712,0
2020-01-01 22:00:00+00:00,131.77,131.77,129.8,130.21,45005.5,2020-01-01 22:59:59.999000+00:00,5874611.1165,3813.0,20284.876,2646735.43667,0
2020-01-01 23:00:00+00:00,130.21,130.78,129.54,130.62,28262.382,2020-01-01 23:59:59.999000+00:00,3677992.76734,2115.0,14591.848,1899136.61467,0
2020-01-02 00:00:00+00:00,130.63,130.75,130.2,130.6,15892.61,2020-01-02 00:59:59.999000+00:00,2072878.98118,1346.0,8391.716,1094451.93662,0
2020-01-02 01:00:00+00:00,130.61,130.61,130.09,130.17,13015.26,2020-01-02 01:59:59.999000+00:00,1696085.95489,1135.0,6768.638,882114.41743,0
2020-01-02 02:00:00+00:00,130.13,130.13,128.86,129.7,38688.044,2020-01-02 02:59:59.999000+00:00,5008722.46878,3374.0,19077.276,2469887.48836,0
2020-01-02 03:00:00+00:00,129.7,129.7,128.75,129.09,23757.32,2020-01-02 03:59:59.999000+00:00,3069374.11323,2628.0,11858.695,1532046.64567,0
2020-01-02 04:00:00+00:00,129.07,129.83,128.67,129.55,28032.828,2020-01-02 04:59:59.999000+00:00,3627201.48923,2269.0,13875.658,1795492.29665,0
2020-01-02 05:00:00+00:00,129.54,129.71,129.3,129.58,12684.201,2020-01-02 05:59:59.999000+00:00,1642345.71536,1406.0,6541.389,846958.20358,0
2020-01-02 06:00:00+00:00,129.58,129.96,129.15,129.39,11052.361,2020-01-02 06:59:59.999000+00:00,1432389.94633,1082.0,5916.088,766732.93276,0
2020-01-02 07:00:00+00:00,129.39,129.65,128.96,129.28,23377.733,2020-01-02 07:59:59.999000+00:00,3021933.62673,1880.0,11809.051,1526494.33586,0
2020-01-02 08:00:00+00:00,129.2,130.22,129.17,130.14,19059.405,2020-01-02 08:59:59.999000+00:00,2474922.44059,1434.0,10044.99,1304563.45299,0
2020-01-02 09:00:00+00:00,130.14,130.15,129.57,129.96,16525.189,2020-01-02 09:59:59.999000+00:00,2144499.83423,1277.0,8935.998,1159662.61935,0
2020-01-02 10:00:00+00:00,129.92,130.24,129.61,129.66,19073.926,2020-01-02 10:59:59.999000+00:00,2478355.37191,1578.0,9402.936,1221821.45343,0
2020-01-02 11:00:00+00:00,129.65,129.87,129.32,129.48,14682.568,2020-01-02 11:59:59.999000+00:00,1902625.33309,1175.0,5127.345,664490.23826,0
2020-01-02 12:00:00+00:00,129.47,129.94,129.45,129.88,13974.15,2020-01-02 12:59:59.999000+00:00,1812480.76193,1271.0,8428.768,1093175.95546,0
2020-01-02 13:00:00+00:00,129.89,129.95,128.79,129.31,24088.025,2020-01-02 13:59:59.999000+00:00,3115358.25126,2250.0,9815.624,1269249.37769,0
2020-01-02 14:00:00+00:00,129.31,129.87,129.11,129.3,24048.495,2020-01-02 14:59:59.999000+00:00,3111624.25506,1750.0,12869.148,1665249.05686,0
2020-01-02 15:00:00+00:00,129.3,129.64,129.26,129.48,12979.273,2020-01-02 15:59:59.999000+00:00,1680404.13747,1174.0,6568.359,850273.18044,0
2020-01-02 16:00:00+00:00,129.5,129.65,126.79,127.45,74728.673,2020-01-02 16:59:59.999000+00:00,9561010.98315,6284.0,29364.212,3756986.39736,0
2020-01-02 17:00:00+00:00,127.45,127.6,126.25,127.36,67653.23,2020-01-02 17:59:59.999000+00:00,8583734.72658,6855.0,31518.193,3999977.804,0
2020-01-02 18:00:00+00:00,127.38,127.63,127.07,127.46,13454.653,2020-01-02 18:59:59.999000+00:00,1713642.12212,1359.0,7220.803,919640.38748,0
2020-01-02 19:00:00+00:00,127.44,127.56,127.05,127.53,14985.382,2020-01-02 19:59:59.999000+00:00,1907795.17764,1449.0,7877.7,1002832.8882,0
2020-01-02 20:00:00+00:00,127.53,127.55,126.7,127.11,16137.423,2020-01-02 20:59:59.999000+00:00,2051241.23057,1389.0,8445.203,1073435.87633,0
2020-01-02 21:00:00+00:00,127.11,127.79,127.11,127.65,8499.159,2020-01-02 21:59:59.999000+00:00,1083011.89043,980.0,5168.637,658635.16901,0
2020-01-02 22:00:00+00:00,127.65,127.65,127.22,127.29,5568.846,2020-01-02 22:59:59.999000+00:00,708998.71872,652.0,2556.969,325519.23722,0
2020-01-02 23:00:00+00:00,127.32,127.41,126.86,127.11,11624.17,2020-01-02 23:59:59.999000+00:00,1477333.31454,1482.0,6257.239,795243.00225,0
2020-01-03 00:00:00+00:00,127.11,127.51,126.75,127.0,16609.221,2020-01-03 00:59:59.999000+00:00,2110404.41027,1675.0,8096.745,1028829.22168,0
2020-01-03 01:00:00+00:00,126.99,127.08,125.78,125.96,19971.062,2020-01-03 01:59:59.999000+00:00,2524656.71331,1709.0,8367.461,1058461.8329,0
